19才 - スガシカオ                                                     xxxHolic_OP  
Necro Fantasia - 美里                                                 EXSERENSES  
Packaged - VOCALOID                                                   EXIT TUNES PRESENTS Vocarhythm feat.初音ミク  
radiant melody-浜口史郎                                  TVアニメ『TARI TARI』ミュージックアルバム ～歌ったり、奏でたり～
Rage Your Dream - Move                                                Initial D Best Song Collection 1998-2004  
Reason - 玉置成実                                                     機動戰士高達SEED DENISTY_ED1  
Sayonara Solitia - 千叶纱子                                           聖槍修女_ED  
Sis puella magica!-梶浦由記                                        魔法少女まどか☆マギカ オリジナルサウンドトラックVol.1
Spirit Inspiration - Nothing's Carved In Stone                        絕園的暴風雨_OP  
Tears - Daydream                                                      機動戰士高達SEED DENISTY_ED6  
The Sore Feet Song（フルサイズ） - 増田俊郎                           蟲師_OP  
Zzz - 佐咲紗花                                                        日常_ED  
「戦場ヶ原、蕩れ」 - 神前暁                                           化物語音楽全集 Songs&Soundtracks  
あい - TVサントラ                                                     不公正抽签TV_OP  
いつもこの場所で-彩音                                         劇場版 STEINS;GATE 負荷領域のデジャヴ エンディングテーマ_ED
いとおしい人のために - 佐藤朱美                                       ふしぎ遊戯　全曲集～歌曲天地之箱～  
さらい屋五葉 - MOKA☆                                                 さらい屋五葉 音楽集   
つづれおり - speena                                                   高桥留美子剧场_OP  
ひめくり - 佐土原かおり                                               枪械少女_ED  
びいだま - アツミサオリ                                               现视研第一季+OVA_ED  
めぐる季節-奥戸巴寿                                     ピアノによる珠玉のアニメ映画主題歌集「いつも何度でも/もののけ姫」
もってけ!セーラーふく-日本ACG                                       TVアニメ「らき☆すた」OP主題歌 もってけ！セーラーふく
もどかしい世界の上で - 牧野由依                                       欢迎加入NHK_ED2  
アヴェ・マリア(Violin×Piano Ver.) - Violin+Piano:TAM                 まど☆マギ Classic  
ガーネット - 奥华子                                                   時をかける少女  
ココ - たむらぱん                                                     京骚戏画_OP  
コネクト - ClariS                                                     魔法少女小圆_OP  
コンプリケイション - ROOKiEZ is PUNK'D                                Durarara!!_OP2  
サクラ - eufonius                                                     narcissu SIDE 2nd  
スカボロー·フェア - 多田葵                                           GUNSLINGERGIRL第二季 第8话插曲&ED  
ソ・ラ・ソ・ミ ~piano ver.~-コーコーヤ                      異国迷路のクロワーゼ The Animation オリジナルサウンドトラック
ツキアカリ - Rie fu                                                   黑之契约者第一季_ED1  
ツキアカリのミチシルベ - EVANPONY                                     DARKER THAN BLACK-流星の双子_OP  
テルーの唄(歌集バージョン) - 手嶌葵                                   ゲド戦記歌集  
ブラーチヤ - 大島ミチル                                               鋼の錬金術師2003_插入歌  
マイ フレンド-ZARD                                                 THE BEST OF TV ANIMATION SLAM DUNK ~Single Collection~
マイペース大王 - manzo                                                现视研第一季_OP  
ミネラル - 七緒香                                                     中华一番_ED2  
リフレクティア - eufonius                                             真实之泪_OP  
リンゴ日和～The Wolf Whistling Song TVsize - 吉野裕司                 狼と香辛料 original soundtracks   
上手くいくさ - MOKA☆                                                 さらい屋五葉 音楽集   
予感 - Sensitive Heart                                                二胡阳炎～千秋恋歌  
仲間 - MOKA☆                                                         さらい屋五葉 音楽集   
優しさの理由 - ちょうちょ                                             冰菓_OP1  
凰華 - Factory Noise&AG                                               遥かに仰ぎ、麗しの オリジナルサウンドトラック  
初音ミクの消失 - VOCALOID                                             EXIT TUNES PRESENTS Vocarhythm feat.初音ミク  
勝利 ～善のテーマ - 日本ACG                                           デジモンアドベンチャー キュートビートクラブ  
同じ雲を見つめて - Factory Noise&AG                                   遥かに仰ぎ、麗しの オリジナルサウンドトラック  
君がいない夏 - DEEN                                                   名侦探柯南_ED4  
君さえいれば - DEEN                                                   中华一番_OP3  
君にまつわるミステリー - 千反田爱瑠(佐藤聪美)\伊原摩耶花(茅野爱衣)    冰菓_ED2  
君の知らない物语 - nagi(supercell)                                    化物语_ED  
哀と悲 - 六三四                                                       NARUTO-ナルト-オリジナルサウンドトラック  
商人と狼と、旅の荷馬車 - 吉野裕司                                     狼と香辛料 original soundtracks   
四畳半紀の終わり - 大島ミチル                                         四畳半神話大系 オリジナル・サウンドトラック   
地球ぎ - 松澤由美                                                     聖闘士星矢 主題歌&BEST  
夏影 - 折戸伸治                                                       AIR Original SoundTrack  
夢想歌 - Suara                                                        传颂之物_OP  
子猫のパヤパヤ - VOCALOID                                             EXIT TUNES PRESENTS Vocarhythm feat.初音ミク  
富嶽 - MOKA☆                                                         さらい屋五葉 音楽集   
心の旋律-浜口史郎                                        TVアニメ『TARI TARI』ミュージックアルバム ～歌ったり、奏でたり～
恋のカタチ - KΛNΛ                                                   Candy boy_插入曲  
息もできない - ZARD                                                   中华一番_OP2  
情け - MOKA☆                                                         さらい屋五葉 音楽集   
慈しみ深き - Key Sounds Label                                         Planetarian original soundtrack  
慕情 - 和田薫                                                         犬夜叉 音楽篇  
憧れの非日常 - 吉森信                                                 【デュラララ!!】サイケデリックドリームス VOL.01  
断罪の花~Guilty Sky~ - 小坂りゆ                                       CLAYMORE_ED  
旅の途中 - 吉野裕司                                                   狼と香辛料 original soundtracks   
明日へ - Galileo Galilei                                              機動戰士高達AGE_OP1  
時代を越える想い2〈鏡の中の夢幻城〉 - 和田薫                          犬夜叉 音楽撰集 映画篇  
暁の車 - FictionJunction                                              機動戰士高達SEED 插入曲  
東から来た少年 - Joe Hisaishi                                         もののけ姫  
江戸さらさら - MOKA☆                                                 さらい屋五葉 音楽集   
潮風のハーモニー - 白浜坂高校合唱部                                   TVアニメ『TARI TARI』_ED  
煌めく瞬間に捕われて ~CINE VERSION~-MANISH                         THE BEST OF TV ANIMATION SLAM DUNK ~Single Collection~
瑠璃の鳥 - Little Wing                                                殻ノ少女 オリジナルサウンドトラック「Azure」  
白浜坂高校校歌-浜口史郎                                  TVアニメ『TARI TARI』ミュージックアルバム ～歌ったり、奏でたり～
白金ディスコ - 阿良々木月火(井口裕香)                                 偽物語_OP3  
秋姉妹のなく頃に - ばんばんしー                                       秋満開の風に舞う  
空 - 大黒摩季                                                         中华一番_OP1  
空も飛べるはず - さよならポニーテール                                 钓球_ED  
空想メソロギヰ - 妖精帝國                                             未来日记_OP1  
笑顔が好きだから - 日本ACG                                            赤ずきんチャチャ 聖(セント)まじかるレビュー Vol.1  
経験値上昇中☆ - 日本ACG                                              経験値上昇中☆  
緑色の記憶 - 吉森信                                                   【デュラララ!!】サイケデリックドリームス VOL.01  
臆病者-光宗信吉                                                    TVアニメ「ローゼンメイデン」オリジナルサウンドトラック
花の子ルンルン - 堀江美都子                                           ベスト&ベスト  
輪舞‐revolution - 奥井雅美                                           少女革命_OP  
運命のルーレット廻して - ZARD                                         名侦探柯南_OP4  
陽だまりにて和む猫 - Falcom Sound Team jdk                            英雄伝説VI-空の軌跡 OST  
青い栞 - Galileo Galilei                                              我们仍未知道那天所看见的花的名字_OP  
青い空に出逢えた - 辻尾有紗                                           中华一番_ED1  
青春として - manzo                                                    现视研OVA_OP  
靴ひも - 山本朝海                                                     魔女之刃_ED2  
願いが叶う場所 - Key Sounds Label                                     CLANNAD Original SoundTrack  
願いが叶う場所Ⅱ - Key Sounds Label                                   CLANNAD Original SoundTrack  
風のように自由~free as the wind - 宇徳敬子                            中华一番_ED3  
颯爽 - MOKA☆                                                         さらい屋五葉 音楽集   
騎士王の誇り - 川井憲次                                               Fate/Stay night A.OST  
